generation,strategy,nAgents,nInnovate,nObserve,nExploit,nRefine,totalPayoffs,avgLifespan,stdLifespan,medLifespan,maxLifespan
0,dmn2,51,0,51,0,0,0,1.0,0.0,1.0,1
0,dmn,49,0,49,0,0,0,1.0,0.0,1.0,1
1,dmn2,51,51,0,0,0,0,2.0,0.0,2.0,2
1,dmn,49,49,0,0,0,0,2.0,0.0,2.0,2
2,dmn2,51,0,1,50,0,6241.0,3.0,0.0,3.0,3
2,dmn,49,0,2,47,0,4504.0,3.0,0.0,3.0,3
3,dmn2,51,0,1,50,0,6001.0,3.94117647059,0.415945165404,4.0,4
3,dmn,49,0,1,48,0,4438.0,3.9387755102,0.424175707976,4.0,4
4,dmn2,52,0,3,49,0,6265.0,4.86538461538,0.680182276301,5.0,5
4,dmn,48,0,3,45,0,4039.0,4.9375,0.428478412525,5.0,5
5,dmn2,53,0,3,50,0,6769.0,5.67924528302,1.14551767824,6.0,6
5,dmn,47,0,4,43,0,4456.0,5.82978723404,0.833325788407,6.0,6
6,dmn2,53,0,3,50,0,4008.0,6.56603773585,1.38058551924,7.0,7
6,dmn,47,0,0,47,0,4422.0,6.82978723404,0.833325788407,7.0,7
7,dmn2,53,0,8,45,0,4549.0,7.56603773585,1.38058551924,8.0,8
7,dmn,47,0,4,43,0,4347.0,7.68085106383,1.29000054393,8.0,8
8,dmn2,55,0,7,48,0,6399.0,8.14545454545,2.18605648948,9.0,9
8,dmn,45,0,5,40,0,4766.0,8.77777777778,1.11333111554,9.0,9
9,dmn2,55,0,1,54,0,8347.0,9.14545454545,2.18605648948,10.0,10
9,dmn,45,0,2,43,0,5757.0,9.57777777778,1.70605313046,10.0,10
10,dmn2,57,0,5,52,0,8178.0,9.82456140351,2.72816889312,11.0,11
10,dmn,43,0,3,40,0,5951.0,10.3255813953,2.25904826876,11.0,11
11,dmn2,58,0,3,55,0,9378.0,10.4655172414,3.23885631816,12.0,12
11,dmn,42,0,1,41,0,6062.0,11.3095238095,2.28335691929,12.0,12
12,dmn2,58,0,4,54,0,9527.0,11.224137931,3.59618142042,13.0,13
12,dmn,42,0,2,40,0,6058.0,11.7380952381,3.30986637487,13.0,13
13,dmn2,58,0,2,56,0,10311.0,12.0,3.87298334621,14.0,14
13,dmn,42,0,1,41,0,6959.0,12.4285714286,3.75526840803,14.0,14
14,dmn2,58,0,1,57,0,10447.0,13.0,3.87298334621,15.0,15
14,dmn,42,0,1,41,0,7304.0,13.0952380952,4.19642434988,15.0,15
15,dmn2,58,0,25,33,0,8316.0,14.0,3.87298334621,16.0,16
15,dmn,42,0,19,23,0,5847.0,14.0952380952,4.19642434988,16.0,16
16,dmn2,58,0,3,55,0,4560.0,14.9137931034,4.12011249745,17.0,17
