generation,strategy,nAgents,nInnovate,nObserve,nExploit,nRefine,totalPayoffs,avgLifespan,stdLifespan,medLifespan,maxLifespan
0,estagent2,55,0,55,0,0,0,1.0,0.0,1.0,1
0,estagent,45,0,45,0,0,0,1.0,0.0,1.0,1
1,estagent2,55,55,0,0,0,0,2.0,0.0,2.0,2
1,estagent,45,45,0,0,0,0,2.0,0.0,2.0,2
2,estagent2,55,0,55,0,0,0,3.0,0.0,3.0,3
2,estagent,45,0,45,0,0,0,3.0,0.0,3.0,3
3,estagent2,55,0,55,0,0,0,4.0,0.0,4.0,4
3,estagent,45,0,45,0,0,0,4.0,0.0,4.0,4
4,estagent2,55,0,55,0,0,0,5.0,0.0,5.0,5
4,estagent,45,0,45,0,0,0,5.0,0.0,5.0,5
5,estagent2,55,0,55,0,0,0,6.0,0.0,6.0,6
5,estagent,45,0,45,0,0,0,6.0,0.0,6.0,6
6,estagent2,55,0,55,0,0,0,7.0,0.0,7.0,7
6,estagent,45,0,45,0,0,0,7.0,0.0,7.0,7
7,estagent2,55,0,55,0,0,0,8.0,0.0,8.0,8
7,estagent,45,0,45,0,0,0,8.0,0.0,8.0,8
8,estagent2,55,0,55,0,0,0,9.0,0.0,9.0,9
8,estagent,45,0,45,0,0,0,9.0,0.0,9.0,9
9,estagent2,55,0,55,0,0,0,10.0,0.0,10.0,10
9,estagent,45,0,45,0,0,0,10.0,0.0,10.0,10
10,estagent2,55,0,55,0,0,0,11.0,0.0,11.0,11
10,estagent,45,0,45,0,0,0,11.0,0.0,11.0,11
11,estagent2,55,0,55,0,0,0,12.0,0.0,12.0,12
11,estagent,45,0,45,0,0,0,12.0,0.0,12.0,12
12,estagent2,55,0,55,0,0,0,13.0,0.0,13.0,13
12,estagent,45,0,45,0,0,0,13.0,0.0,13.0,13
13,estagent2,55,0,55,0,0,0,14.0,0.0,14.0,14
13,estagent,45,0,45,0,0,0,14.0,0.0,14.0,14
14,estagent2,55,0,55,0,0,0,15.0,0.0,15.0,15
14,estagent,45,0,45,0,0,0,15.0,0.0,15.0,15
15,estagent2,55,0,55,0,0,0,16.0,0.0,16.0,16
15,estagent,45,0,45,0,0,0,16.0,0.0,16.0,16
16,estagent2,55,0,55,0,0,0,17.0,0.0,17.0,17
16,estagent,45,0,45,0,0,0,17.0,0.0,17.0,17
17,estagent2,55,0,55,0,0,0,18.0,0.0,18.0,18
17,estagent,45,0,45,0,0,0,18.0,0.0,18.0,18
