generation,strategy,nAgents,nInnovate,nObserve,nExploit,nRefine,totalPayoffs,avgLifespan,stdLifespan,medLifespan,maxLifespan
0,estagent,50,0,50,0,0,0,1.0,0.0,1.0,1
0,exagent,50,50,0,0,0,0,1.0,0.0,1.0,1
1,estagent,50,50,0,0,0,0,2.0,0.0,2.0,2
1,exagent,50,0,0,50,0,409.0,2.0,0.0,2.0,2
2,estagent,50,0,50,0,0,0,3.0,0.0,3.0,3
2,exagent,50,1,0,49,0,403.0,2.96,0.28,3.0,3
3,estagent,50,0,50,0,0,0,4.0,0.0,4.0,4
3,exagent,50,3,2,45,0,408.0,3.78,0.756042326857,4.0,4
4,estagent,48,0,13,35,0,1450.0,5.0,0.0,5.0,5
4,exagent,52,2,0,50,0,586.0,4.63461538462,1.03828346051,5.0,5
5,estagent,47,0,1,46,0,2179.0,5.89361702128,0.72152446629,6.0,6
5,exagent,53,1,0,52,0,596.0,5.54716981132,1.20636734816,6.0,6
6,estagent,47,0,1,46,0,2235.0,6.76595744681,1.11494234099,7.0,7
6,exagent,53,1,0,52,0,552.0,6.43396226415,1.42099399123,7.0,7
7,estagent,48,0,1,47,0,2261.0,7.625,1.46664299223,8.0,8
7,exagent,52,1,0,51,0,491.0,7.34615384615,1.65116061028,8.0,8
8,estagent,49,0,1,48,0,2334.0,8.4693877551,1.80816787211,9.0,9
8,exagent,51,1,5,45,0,457.0,8.17647058824,1.94740533615,9.0,9
9,estagent,49,0,2,47,0,2016.0,9.10204081633,2.45983986503,10.0,10
9,exagent,51,1,0,50,0,687.0,9.0,2.24918285815,10.0,10
10,estagent,51,0,2,49,0,2180.0,9.74509803922,2.98915121571,11.0,11
10,exagent,49,0,3,46,0,709.0,9.95918367347,2.28534982517,11.0,11
11,estagent,50,0,0,50,0,2258.0,10.72,3.01356931229,12.0,12
11,exagent,50,1,0,49,0,925.0,10.76,2.6575176387,12.0,12
12,estagent,51,0,2,49,0,2231.0,11.2745098039,3.63036448974,13.0,13
12,exagent,49,1,0,48,0,920.0,11.6734693878,2.88123949448,13.0,13
13,estagent,52,0,2,50,0,2269.0,12.0576923077,3.91453632945,14.0,14
13,exagent,48,0,0,48,0,943.0,12.6458333333,2.90466279837,14.0,14
14,estagent,53,0,1,52,0,2413.0,12.8301886792,4.21021152633,15.0,15
14,exagent,47,0,0,47,0,941.0,13.7446808511,2.85439627411,15.0,15
15,estagent,53,0,1,52,0,2477.0,13.5471698113,4.54564289716,16.0,16
15,exagent,47,0,1,46,0,937.0,14.7446808511,2.85439627411,16.0,16
16,estagent,52,0,0,52,0,2511.0,14.7307692308,4.39017865685,17.0,17
16,exagent,48,2,1,45,0,1001.0,15.1666666667,4.07907941684,17.0,17
17,estagent,52,0,1,51,0,2439.0,15.4038461538,4.82086656503,18.0,18
17,exagent,48,1,1,46,0,992.0,15.8125,4.60821842834,18.0,18
18,estagent,53,0,3,50,0,2446.0,15.4339622642,5.91929825635,19.0,19
18,exagent,47,1,1,45,0,1063.0,16.3829787234,5.15938802032,19.0,19
19,estagent,53,0,1,52,0,2577.0,16.0754716981,6.2581239476,20.0,20
19,exagent,47,1,0,46,0,1053.0,16.9787234043,5.65869454046,20.0,20
20,estagent,52,0,0,52,0,2584.0,17.3653846154,5.95505230279,21.0,21
20,exagent,48,1,1,46,0,1053.0,17.625,6.10199762373,21.0,21
21,estagent,52,0,1,51,0,2430.0,18.1538461538,6.35907774937,22.0,22
21,exagent,48,0,0,48,0,1127.0,18.625,6.10199762373,22.0,22
22,estagent,52,0,0,52,0,2537.0,19.1538461538,6.35907774937,23.0,23
22,exagent,48,0,1,47,0,1122.0,19.625,6.10199762373,23.0,23
23,estagent,53,0,2,51,0,2510.0,19.358490566,7.25309131134,24.0,24
23,exagent,47,0,0,47,0,1201.0,20.6595744681,6.16191665314,24.0,24
24,estagent,54,0,2,52,0,2582.0,19.5555555556,8.02926745117,25.0,25
24,exagent,46,0,2,44,0,1115.0,21.5869565217,6.20860583299,25.0,25
25,estagent,56,0,5,51,0,2557.0,18.8214285714,9.47950259179,26.0,26
25,exagent,44,0,1,43,0,1171.0,22.4318181818,6.304391425,26.0,26
26,estagent,56,0,1,55,0,2631.0,19.3571428571,9.74941128521,27.0,27
26,exagent,44,0,2,42,0,1221.0,23.4318181818,6.304391425,27.0,27
27,estagent,58,0,2,56,0,2680.0,19.6896551724,10.2102161424,28.0,28
27,exagent,42,0,1,41,0,1295.0,24.5476190476,6.29513183399,28.0,28
28,estagent,59,0,1,58,0,2869.0,20.3559322034,10.4374857546,29.0,29
28,exagent,41,0,0,41,0,1298.0,25.6341463415,6.34671452382,29.0,29
29,estagent,60,0,1,59,0,2941.0,21.0166666667,10.6731620848,30.0,30
29,exagent,40,1,0,39,0,1202.0,25.825,7.51627401044,30.0,30
30,estagent,61,0,2,59,0,2821.0,21.1803278689,11.1583361424,26.0,31
30,exagent,39,0,1,38,0,1169.0,27.1538461538,7.32238738404,31.0,31
31,estagent,61,0,0,61,0,3022.0,22.1803278689,11.1583361424,27.0,32
31,exagent,39,0,2,37,0,1237.0,28.1538461538,7.32238738404,32.0,32
32,estagent,61,0,0,61,0,2986.0,23.1803278689,11.1583361424,28.0,33
32,exagent,39,2,0,37,0,1384.0,28.0,9.30949336251,33.0,33
33,estagent,61,0,1,60,0,3010.0,23.6393442623,11.4648897915,28.0,34
33,exagent,39,1,2,36,0,1316.0,28.1538461538,10.2670457677,34.0,34
34,estagent,61,0,1,60,0,3066.0,24.1967213115,11.841604444,29.0,35
34,exagent,39,0,1,38,0,1465.0,29.1538461538,10.2670457677,35.0,35
35,estagent,61,0,1,60,0,3120.0,24.6229508197,12.1482157287,28.0,36
35,exagent,39,1,0,38,0,1411.0,29.2564102564,11.2037492551,36.0,36
36,estagent,61,0,1,60,0,3148.0,25.0327868852,12.4518314054,28.0,37
36,exagent,39,0,0,39,0,1389.0,30.2564102564,11.2037492551,37.0,37
37,estagent,62,0,2,60,0,3202.0,25.435483871,13.0255592013,29.0,38
37,exagent,38,0,2,36,0,1311.0,31.3684210526,11.3286340809,38.0,38
38,estagent,62,0,1,61,0,3250.0,25.8225806452,13.3108301691,29.5,39
38,exagent,38,0,0,38,0,1442.0,32.3684210526,11.3286340809,39.0,39
39,estagent,63,0,3,60,0,3188.0,26.0634920635,14.036090687,30.0,40
39,exagent,37,0,1,36,0,1432.0,34.0810810811,10.6069288379,40.0,40
40,estagent,63,0,3,60,0,3322.0,25.5555555556,14.7978739118,28.0,41
40,exagent,37,1,0,36,0,1503.0,34.0,11.9072996008,41.0,41
41,estagent,63,0,1,62,0,3435.0,26.3333333333,15.0723124694,29.0,42
41,exagent,37,0,0,37,0,1498.0,35.0,11.9072996008,42.0,42
42,estagent,62,0,1,61,0,3498.0,26.4032258065,15.2722177419,28.5,43
42,exagent,38,1,2,35,0,1523.0,35.0789473684,13.0169557015,43.0,43
43,estagent,62,0,1,61,0,3557.0,26.7096774194,15.4777541681,27.5,44
43,exagent,38,0,0,38,0,1662.0,36.0789473684,13.0169557015,44.0,44
44,estagent,64,0,2,62,0,3621.0,26.875,15.927079927,27.0,45
44,exagent,36,0,1,35,0,1582.0,36.6388888889,13.2353751107,45.0,45
45,estagent,65,0,2,63,0,3764.0,26.7692307692,16.3007968005,28.0,46
45,exagent,35,0,2,33,0,1646.0,38.4,12.6224290169,46.0,46
46,estagent,65,0,2,63,0,3746.0,27.0769230769,16.8507545527,24.0,47
46,exagent,35,0,0,35,0,1790.0,39.4,12.6224290169,47.0,47
47,estagent,66,0,3,63,0,3857.0,26.8636363636,17.2845055536,24.5,48
47,exagent,34,0,0,34,0,1718.0,40.1764705882,12.7382485365,48.0,48
48,estagent,66,0,1,65,0,3931.0,27.1363636364,17.3893788235,25.0,49
48,exagent,34,0,0,34,0,1718.0,41.1764705882,12.7382485365,49.0,49
49,estagent,66,0,2,64,0,3942.0,27.0151515152,17.7802174921,25.0,50
49,exagent,34,0,0,34,0,1718.0,42.1764705882,12.7382485365,50.0,50
50,estagent,66,0,0,66,0,4078.0,28.0151515152,17.7802174921,26.0,51
50,exagent,34,0,0,34,0,1713.0,43.1764705882,12.7382485365,51.0,51
51,estagent,66,0,1,65,0,4010.0,28.2424242424,17.8724950405,27.0,52
51,exagent,34,0,1,33,0,1710.0,44.1764705882,12.7382485365,52.0,52
52,estagent,67,0,3,64,0,3987.0,27.2686567164,18.1556965194,26.0,53
52,exagent,33,0,0,33,0,1710.0,44.9393939394,12.8557012325,53.0,53
53,estagent,66,0,0,66,0,4083.0,27.8787878788,18.0122139971,26.5,54
53,exagent,34,1,0,33,0,1705.0,44.6176470588,14.7668442323,54.0,54
54,estagent,67,0,3,64,0,3929.0,27.6268656716,18.7766414279,25.0,55
54,exagent,33,0,1,32,0,1632.0,45.3333333333,14.8969524373,55.0,55
55,estagent,67,0,0,67,0,4085.0,28.6268656716,18.7766414279,26.0,56
55,exagent,33,0,0,33,0,1704.0,46.3333333333,14.8969524373,56.0,56
56,estagent,67,0,1,66,0,4016.0,29.4626865672,18.977070499,27.0,57
56,exagent,33,0,0,33,0,1705.0,47.3333333333,14.8969524373,57.0,57
57,estagent,67,0,0,67,0,4085.0,30.4626865672,18.977070499,28.0,58
57,exagent,33,0,0,33,0,1705.0,48.3333333333,14.8969524373,58.0,58
58,estagent,67,0,1,66,0,4018.0,31.0149253731,19.3332846831,29.0,59
58,exagent,33,0,0,33,0,1709.0,49.3333333333,14.8969524373,59.0,59
59,estagent,68,0,2,66,0,4025.0,30.8235294118,19.7446501887,25.0,60
59,exagent,32,0,0,32,0,1708.0,50.03125,15.0280661909,60.0,60
60,estagent,68,0,0,68,0,4084.0,31.8235294118,19.7446501887,26.0,61
60,exagent,32,0,0,32,0,1708.0,51.03125,15.0280661909,61.0,61
61,estagent,68,0,1,67,0,4012.0,32.6764705882,19.9428899142,27.0,62
61,exagent,32,0,0,32,0,1708.0,52.03125,15.0280661909,62.0,62
62,estagent,68,0,2,66,0,4013.0,31.8529411765,20.0126906104,26.0,63
62,exagent,32,0,0,32,0,1708.0,53.03125,15.0280661909,63.0,63
63,estagent,68,0,2,66,0,4066.0,31.3382352941,20.4044475357,25.5,64
63,exagent,32,0,0,32,0,1708.0,54.03125,15.0280661909,64.0,64
64,estagent,70,0,2,68,0,4265.0,31.4428571429,20.7774848707,26.0,65
64,exagent,30,1,0,29,0,1536.0,53.3,17.6751237619,64.0,65
65,estagent,69,0,1,68,0,4336.0,32.3043478261,21.1805929409,27.0,66
65,exagent,31,2,0,29,0,1486.0,50.4838709677,21.6017785524,63.0,66
66,estagent,69,0,0,69,0,4415.0,33.3043478261,21.1805929409,28.0,67
66,exagent,31,0,0,31,0,1491.0,51.4838709677,21.6017785524,64.0,67
67,estagent,69,0,0,69,0,4415.0,34.3043478261,21.1805929409,29.0,68
67,exagent,31,0,0,31,0,1491.0,52.4838709677,21.6017785524,65.0,68
68,estagent,69,0,1,68,0,95.0,34.3188405797,21.1718248333,30.0,69
68,exagent,31,0,0,31,0,123.0,53.4838709677,21.6017785524,66.0,69
69,estagent,69,0,1,68,0,130.0,35.1739130435,21.3710874183,31.0,70
69,exagent,31,0,19,12,0,123.0,54.4838709677,21.6017785524,67.0,70
70,estagent,69,0,1,68,0,284.0,35.5217391304,21.7446369838,32.0,71
