generation,strategy,nAgents,nInnovate,nObserve,nExploit,nRefine,totalPayoffs,avgLifespan,stdLifespan,medLifespan,maxLifespan
0,estagent_numpy,50,0,50,0,0,0,1.0,0.0,1.0,1
0,dmn,50,0,50,0,0,0,1.0,0.0,1.0,1
1,estagent_numpy,50,50,0,0,0,0,2.0,0.0,2.0,2
1,dmn,50,50,0,0,0,0,2.0,0.0,2.0,2
2,estagent_numpy,50,0,50,0,0,0,3.0,0.0,3.0,3
2,dmn,50,0,9,41,0,358.0,3.0,0.0,3.0,3
3,estagent_numpy,50,0,50,0,0,0,4.0,0.0,4.0,4
3,dmn,50,0,1,49,0,423.0,3.94,0.42,4.0,4
4,estagent_numpy,48,0,47,1,0,2.0,5.0,0.0,5.0,5
4,dmn,52,0,6,46,0,271.0,4.63461538462,1.12709371247,5.0,5
5,estagent_numpy,46,0,45,1,0,3.0,6.0,0.0,6.0,6
5,dmn,54,0,8,46,0,438.0,5.46296296296,1.41044992773,6.0,6
6,estagent_numpy,46,0,37,9,0,36.0,7.0,0.0,7.0,7
6,dmn,54,0,3,51,0,565.0,6.46296296296,1.41044992773,7.0,7
7,estagent_numpy,45,0,23,22,0,228.0,8.0,0.0,8.0,8
7,dmn,55,0,4,51,0,600.0,7.21818181818,1.84579038592,8.0,8
8,estagent_numpy,44,0,7,37,0,699.0,9.0,0.0,9.0,9
8,dmn,56,0,3,53,0,706.0,8.08928571429,2.06394893447,9.0,9
9,estagent_numpy,44,0,2,42,0,963.0,10.0,0.0,10.0,10
9,dmn,56,0,2,54,0,791.0,8.92857142857,2.3211538299,10.0,10
10,estagent_numpy,42,0,1,41,0,852.0,10.7619047619,1.52455338986,11.0,11
10,dmn,58,0,6,52,0,660.0,9.10344827586,3.36661937861,11.0,11
11,estagent_numpy,41,0,1,40,0,910.0,11.487804878,2.26448670994,12.0,12
11,dmn,59,0,7,52,0,743.0,9.83050847458,3.71507484412,12.0,12
12,estagent_numpy,41,0,0,41,0,926.0,12.487804878,2.26448670994,13.0,13
12,dmn,59,0,5,54,0,950.0,10.4915254237,4.10197505697,13.0,13
13,estagent_numpy,41,0,1,40,0,848.0,13.1707317073,2.97060755077,14.0,14
13,dmn,59,0,2,57,0,1174.0,11.2711864407,4.30541837757,14.0,14
14,estagent_numpy,42,0,1,41,0,672.0,13.8571428571,3.55615782881,15.0,15
14,dmn,58,0,2,56,0,965.0,12.3103448276,4.3319458738,15.0,15
15,estagent_numpy,44,0,3,41,0,700.0,13.8863636364,4.91849898154,16.0,16
15,dmn,56,0,25,31,0,857.0,12.9464285714,4.81596913128,16.0,16
16,estagent_numpy,44,0,1,43,0,894.0,14.5227272727,5.32356953199,17.0,17
16,dmn,56,0,3,53,0,1796.0,13.6607142857,5.0929811145,17.0,17
17,estagent_numpy,45,0,2,43,0,990.0,15.0666666667,5.9382002511,18.0,18
17,dmn,55,0,3,52,0,1820.0,14.5272727273,5.28068365221,18.0,18
18,estagent_numpy,46,0,1,45,0,1088.0,15.7391304348,6.27082541758,19.0,19
18,dmn,54,0,3,51,0,1940.0,15.462962963,5.30797081603,19.0,19
19,estagent_numpy,45,0,0,45,0,1149.0,16.6666666667,6.32104070194,20.0,20
19,dmn,55,0,2,53,0,2096.0,16.1818181818,5.65071486738,20.0,20
20,estagent_numpy,44,0,2,42,0,1039.0,17.0227272727,7.03397158072,21.0,21
20,dmn,56,0,3,53,0,2158.0,16.75,6.27139196215,21.0,21
21,estagent_numpy,44,0,2,42,0,1163.0,17.0681818182,7.81140694833,22.0,22
21,dmn,56,0,3,53,0,2100.0,17.7321428571,6.31746748374,22.0,22
22,estagent_numpy,44,0,3,41,0,1155.0,16.5681818182,8.77340435446,23.0,23
22,dmn,56,0,3,53,0,2037.0,18.7321428571,6.31746748374,23.0,23
23,estagent_numpy,46,0,2,44,0,1331.0,16.847826087,9.2218252256,24.0,24
23,dmn,54,0,6,48,0,1841.0,19.1481481481,6.82155463819,24.0,24
24,estagent_numpy,44,0,1,43,0,1373.0,17.2727272727,9.58778492848,25.0,25
24,dmn,56,0,10,46,0,1925.0,18.7678571429,8.27213712114,25.0,25
25,estagent_numpy,46,0,3,43,0,1435.0,16.9782608696,10.2182469577,26.0,26
25,dmn,54,0,5,49,0,2333.0,19.8148148148,8.29563489427,26.0,26
26,estagent_numpy,46,0,1,45,0,1590.0,17.4130434783,10.4206652691,27.0,27
26,dmn,54,0,3,51,0,2489.0,20.8148148148,8.29563489427,27.0,27
27,estagent_numpy,46,0,3,43,0,1558.0,17.0869565217,10.9660069364,16.0,28
27,dmn,54,0,6,48,0,2313.0,20.1296296296,9.81692849358,28.0,28
28,estagent_numpy,46,0,0,46,0,688.0,18.0869565217,10.9660069364,17.0,29
28,dmn,54,0,3,51,0,684.0,20.6111111111,10.1222466154,27.5,29
29,estagent_numpy,44,0,0,44,0,820.0,18.9772727273,11.052537011,18.0,30
29,dmn,56,0,26,30,0,557.0,20.875,10.6503898319,26.5,30
30,estagent_numpy,45,0,1,44,0,820.0,19.5555555556,11.2813623203,17.0,31
30,dmn,55,0,24,31,0,565.0,21.7090909091,10.6748178222,27.0,31
