generation,strategy,nAgents,nInnovate,nObserve,nExploit,nRefine,totalPayoffs,avgLifespan,stdLifespan,medLifespan,maxLifespan
0,estagent,48,0,48,0,0,0,1.0,0.0,1.0,1
0,exagent,52,52,0,0,0,0,1.0,0.0,1.0,1
1,estagent,48,48,0,0,0,0,2.0,0.0,2.0,2
1,exagent,52,0,0,52,0,552.0,2.0,0.0,2.0,2
2,estagent,48,0,48,0,0,0,3.0,0.0,3.0,3
2,exagent,52,1,0,51,0,560.0,2.96153846154,0.274670324175,3.0,3
3,estagent,48,0,48,0,0,0,4.0,0.0,4.0,4
3,exagent,52,0,0,52,0,457.0,3.96153846154,0.274670324175,4.0,4
4,estagent,48,0,48,0,0,0,5.0,0.0,5.0,5
4,exagent,52,1,3,48,0,454.0,4.88461538462,0.609345366067,5.0,5
5,estagent,48,0,48,0,0,0,6.0,0.0,6.0,6
5,exagent,52,2,3,47,0,430.0,5.69230769231,1.11869535171,6.0,6
6,estagent,46,0,46,0,0,0,7.0,0.0,7.0,7
6,exagent,54,3,6,45,0,423.0,6.37037037037,1.70289836038,7.0,7
7,estagent,45,0,45,0,0,0,8.0,0.0,8.0,8
7,exagent,55,3,1,51,0,523.0,7.09090909091,2.15130173931,8.0,8
8,estagent,45,0,45,0,0,0,9.0,0.0,9.0,9
8,exagent,55,3,2,50,0,465.0,7.76363636364,2.60044497146,9.0,9
9,estagent,44,0,44,0,0,0,10.0,0.0,10.0,10
9,exagent,56,3,1,52,0,478.0,8.30357142857,3.09907614608,10.0,10
10,estagent,42,0,42,0,0,0,11.0,0.0,11.0,11
10,exagent,58,2,3,53,0,384.0,9.01724137931,3.40127450408,11.0,11
11,estagent,41,0,41,0,0,0,12.0,0.0,12.0,12
11,exagent,59,3,2,54,0,468.0,9.66101694915,3.771481611,12.0,12
12,estagent,41,0,41,0,0,0,13.0,0.0,13.0,13
12,exagent,59,0,2,57,0,449.0,10.6610169492,3.771481611,13.0,13
13,estagent,40,0,40,0,0,0,14.0,0.0,14.0,14
13,exagent,60,2,5,53,0,470.0,11.2666666667,4.1867515915,14.0,14
14,estagent,40,0,40,0,0,0,15.0,0.0,15.0,15
14,exagent,60,1,1,58,0,582.0,12.0333333333,4.41197864405,15.0,15
15,estagent,39,0,39,0,0,0,16.0,0.0,16.0,16
15,exagent,61,1,1,59,0,588.0,12.8360655738,4.63479473388,16.0,16
16,estagent,38,0,38,0,0,0,17.0,0.0,17.0,17
16,exagent,62,1,0,61,0,611.0,13.6290322581,4.87334379134,17.0,17
17,estagent,38,0,38,0,0,0,18.0,0.0,18.0,18
17,exagent,62,1,1,60,0,586.0,14.5322580645,5.0791088307,18.0,18
18,estagent,37,0,37,0,0,0,19.0,0.0,19.0,19
18,exagent,63,4,0,59,0,558.0,14.4444444444,6.0860959879,19.0,19
19,estagent,35,0,35,0,0,0,20.0,0.0,20.0,20
19,exagent,65,4,2,59,0,572.0,14.6923076923,6.71375872467,20.0,20
20,estagent,35,0,35,0,0,0,21.0,0.0,21.0,21
20,exagent,65,0,1,64,0,661.0,15.6923076923,6.71375872467,21.0,21
21,estagent,35,0,35,0,0,0,22.0,0.0,22.0,22
21,exagent,65,0,2,63,0,640.0,16.6923076923,6.71375872467,22.0,22
22,estagent,35,0,35,0,0,0,23.0,0.0,23.0,23
22,exagent,65,0,2,63,0,670.0,17.6923076923,6.71375872467,23.0,23
23,estagent,34,0,34,0,0,0,24.0,0.0,24.0,24
23,exagent,66,3,3,60,0,644.0,17.7272727273,7.53887993961,23.0,24
24,estagent,34,0,34,0,0,0,25.0,0.0,25.0,25
24,exagent,66,5,4,57,0,535.0,17.0303030303,8.67942481157,19.0,25
25,estagent,32,0,32,0,0,0,26.0,0.0,26.0,26
25,exagent,68,3,4,61,0,564.0,17.2647058824,9.23646489394,19.5,26
26,estagent,31,0,31,0,0,0,27.0,0.0,27.0,27
26,exagent,69,5,1,63,0,643.0,17.0144927536,9.92215023684,19.0,27
27,estagent,28,0,28,0,0,0,28.0,0.0,28.0,28
27,exagent,72,4,2,66,0,646.0,17.2916666667,10.3123947806,19.5,28
28,estagent,28,0,28,0,0,0,29.0,0.0,29.0,29
28,exagent,72,2,0,70,0,686.0,18.1944444444,10.4544499947,20.5,29
29,estagent,28,0,28,0,0,0,30.0,0.0,30.0,30
29,exagent,72,3,2,67,0,597.0,18.6388888889,10.9535706451,21.0,30
30,estagent,28,0,28,0,0,0,31.0,0.0,31.0,31
30,exagent,72,1,0,71,0,611.0,19.2222222222,11.083298524,22.0,31
31,estagent,28,0,28,0,0,0,32.0,0.0,32.0,32
31,exagent,72,0,6,66,0,566.0,20.2222222222,11.083298524,23.0,32
32,estagent,26,0,26,0,0,0,33.0,0.0,33.0,33
32,exagent,74,2,0,72,0,694.0,20.6756756757,11.4137282301,23.5,33
33,estagent,26,0,26,0,0,0,34.0,0.0,34.0,34
33,exagent,74,1,4,69,0,623.0,21.4459459459,11.6539540812,24.5,34
34,estagent,25,0,25,0,0,0,35.0,0.0,35.0,35
34,exagent,75,4,3,68,0,568.0,21.1466666667,12.2569091627,22.0,35
35,estagent,24,0,24,0,0,0,36.0,0.0,36.0,36
35,exagent,76,3,5,68,0,701.0,21.0789473684,12.7297446515,21.5,36
36,estagent,24,0,24,0,0,0,37.0,0.0,37.0,37
36,exagent,76,0,4,72,0,777.0,22.0789473684,12.7297446515,22.5,37
37,estagent,24,0,24,0,0,0,38.0,0.0,38.0,38
37,exagent,76,0,1,75,0,783.0,23.0789473684,12.7297446515,23.5,38
38,estagent,24,0,24,0,0,0,39.0,0.0,39.0,39
38,exagent,76,1,5,70,0,795.0,24.0263157895,12.8164919293,24.5,39
39,estagent,23,0,23,0,0,0,40.0,0.0,40.0,40
39,exagent,77,5,1,71,0,871.0,23.5064935065,13.7723828462,22.0,40
40,estagent,23,0,23,0,0,0,41.0,0.0,41.0,41
40,exagent,77,2,2,73,0,893.0,23.7922077922,14.108427676,22.0,41
41,estagent,22,0,22,0,0,0,42.0,0.0,42.0,42
41,exagent,78,2,4,72,0,656.0,23.9615384615,14.3709485329,23.0,42
42,estagent,21,0,21,0,0,0,43.0,0.0,43.0,43
42,exagent,79,1,9,69,0,746.0,24.6582278481,14.5287894692,24.0,43
43,estagent,20,0,20,0,0,0,44.0,0.0,44.0,44
43,exagent,80,1,1,78,0,859.0,25.35,14.695322385,25.0,44
44,estagent,20,0,20,0,0,0,45.0,0.0,45.0,45
44,exagent,80,4,2,74,0,792.0,24.525,15.4085812131,21.0,45
45,estagent,19,0,19,0,0,0,46.0,0.0,46.0,46
45,exagent,81,2,1,78,0,811.0,24.6666666667,15.6023106867,22.0,46
46,estagent,19,0,19,0,0,0,47.0,0.0,47.0,47
46,exagent,81,4,3,74,0,811.0,23.975308642,15.891588977,21.0,47
47,estagent,19,0,19,0,0,0,48.0,0.0,48.0,48
47,exagent,81,1,2,78,0,892.0,24.6172839506,16.0996648238,22.0,48
48,estagent,19,0,19,0,0,0,49.0,0.0,49.0,49
48,exagent,81,3,3,75,0,877.0,24.9382716049,16.2300937364,22.0,49
49,estagent,20,0,20,0,0,0,47.55,10.6793024117,50.0,50
49,exagent,80,3,4,73,0,889.0,24.8375,16.659414568,23.0,50
