generation,strategy,nAgents,nInnovate,nObserve,nExploit,nRefine,totalPayoffs,avgLifespan,stdLifespan,medLifespan,maxLifespan
0,estagent,47,0,47,0,0,0,1.0,0.0,1.0,1
0,exagent,53,53,0,0,0,0,1.0,0.0,1.0,1
1,estagent,47,47,0,0,0,0,2.0,0.0,2.0,2
1,exagent,53,0,0,53,0,219.0,2.0,0.0,2.0,2
2,estagent,45,0,45,0,0,0,3.0,0.0,3.0,3
2,exagent,55,2,0,53,0,220.0,2.92727272727,0.374386550581,3.0,3
3,estagent,44,0,44,0,0,0,4.0,0.0,4.0,4
3,exagent,56,1,1,54,0,289.0,3.875,0.536606400047,4.0,4
4,estagent,43,0,43,0,0,0,5.0,0.0,5.0,5
4,exagent,57,1,1,55,0,290.0,4.80701754386,0.736006209242,5.0,5
5,estagent,42,0,42,0,0,0,6.0,0.0,6.0,6
5,exagent,58,1,0,57,0,331.0,5.72413793103,0.961197232053,6.0,6
6,estagent,41,0,41,0,0,0,7.0,0.0,7.0,7
6,exagent,59,3,0,56,0,294.0,6.42372881356,1.57526849829,7.0,7
7,estagent,41,0,41,0,0,0,7.82926829268,1.07980212786,8.0,8
7,exagent,59,1,2,56,0,296.0,7.30508474576,1.77796529382,8.0,8
8,estagent,41,0,41,0,0,0,8.82926829268,1.07980212786,9.0,9
8,exagent,59,2,1,56,0,332.0,8.10169491525,2.17610221637,9.0,9
9,estagent,40,0,40,0,0,0,9.825,1.09287464972,10.0,10
9,exagent,60,3,1,56,0,294.0,8.76666666667,2.71641103092,10.0,10
10,estagent,39,0,39,0,0,0,10.8205128205,1.10643328258,11.0,11
10,exagent,61,1,3,57,0,311.0,9.62295081967,2.91499196876,11.0,11
