generation,strategy,nAgents,nInnovate,nObserve,nExploit,nRefine,totalPayoffs,avgLifespan,stdLifespan,medLifespan,maxLifespan
0,estagent_numpy,42,0,42,0,0,0,1.0,0.0,1.0,1
0,estagent_scipy,58,0,58,0,0,0,1.0,0.0,1.0,1
1,estagent_numpy,42,42,0,0,0,0,2.0,0.0,2.0,2
1,estagent_scipy,58,58,0,0,0,0,2.0,0.0,2.0,2
2,estagent_numpy,42,0,42,0,0,0,3.0,0.0,3.0,3
2,estagent_scipy,58,0,58,0,0,0,3.0,0.0,3.0,3
3,estagent_numpy,42,0,42,0,0,0,4.0,0.0,4.0,4
3,estagent_scipy,58,0,58,0,0,0,4.0,0.0,4.0,4
4,estagent_numpy,42,0,42,0,0,0,5.0,0.0,5.0,5
4,estagent_scipy,58,0,58,0,0,0,5.0,0.0,5.0,5
5,estagent_numpy,42,0,42,0,0,0,6.0,0.0,6.0,6
5,estagent_scipy,58,0,58,0,0,0,6.0,0.0,6.0,6
6,estagent_numpy,42,0,42,0,0,0,7.0,0.0,7.0,7
6,estagent_scipy,58,0,58,0,0,0,7.0,0.0,7.0,7
7,estagent_numpy,42,0,42,0,0,0,8.0,0.0,8.0,8
7,estagent_scipy,58,0,58,0,0,0,8.0,0.0,8.0,8
8,estagent_numpy,42,0,42,0,0,0,9.0,0.0,9.0,9
8,estagent_scipy,58,0,58,0,0,0,9.0,0.0,9.0,9
9,estagent_numpy,42,0,42,0,0,0,10.0,0.0,10.0,10
9,estagent_scipy,58,0,58,0,0,0,10.0,0.0,10.0,10
10,estagent_numpy,42,0,42,0,0,0,11.0,0.0,11.0,11
10,estagent_scipy,58,0,58,0,0,0,11.0,0.0,11.0,11
11,estagent_numpy,42,0,39,3,0,15.0,12.0,0.0,12.0,12
11,estagent_scipy,58,0,49,9,0,62.0,12.0,0.0,12.0,12
12,estagent_numpy,41,0,40,1,0,9.0,13.0,0.0,13.0,13
12,estagent_scipy,59,0,53,6,0,137.0,12.7966101695,1.54897080119,13.0,13
