generation,strategy,nAgents,nInnovate,nObserve,nExploit,nRefine,totalPayoffs,avgLifespan,stdLifespan,medLifespan,maxLifespan
0,estagent_numpy,54,0,54,0,0,0,1.0,0.0,1.0,1
0,estagent_scipy,46,0,46,0,0,0,1.0,0.0,1.0,1
1,estagent_numpy,54,54,0,0,0,0,2.0,0.0,2.0,2
1,estagent_scipy,46,46,0,0,0,0,2.0,0.0,2.0,2
2,estagent_numpy,54,0,54,0,0,0,3.0,0.0,3.0,3
2,estagent_scipy,46,0,46,0,0,0,3.0,0.0,3.0,3
3,estagent_numpy,54,0,54,0,0,0,4.0,0.0,4.0,4
3,estagent_scipy,46,0,46,0,0,0,4.0,0.0,4.0,4
4,estagent_numpy,54,0,54,0,0,0,5.0,0.0,5.0,5
4,estagent_scipy,46,0,46,0,0,0,5.0,0.0,5.0,5
5,estagent_numpy,54,0,54,0,0,0,6.0,0.0,6.0,6
5,estagent_scipy,46,0,46,0,0,0,6.0,0.0,6.0,6
6,estagent_numpy,54,0,54,0,0,0,7.0,0.0,7.0,7
6,estagent_scipy,46,0,46,0,0,0,7.0,0.0,7.0,7
7,estagent_numpy,54,0,54,0,0,0,8.0,0.0,8.0,8
7,estagent_scipy,46,0,46,0,0,0,8.0,0.0,8.0,8
8,estagent_numpy,54,0,54,0,0,0,9.0,0.0,9.0,9
8,estagent_scipy,46,0,46,0,0,0,9.0,0.0,9.0,9
9,estagent_numpy,54,0,54,0,0,0,10.0,0.0,10.0,10
9,estagent_scipy,46,0,46,0,0,0,10.0,0.0,10.0,10
10,estagent_numpy,54,0,54,0,0,0,11.0,0.0,11.0,11
10,estagent_scipy,46,0,46,0,0,0,11.0,0.0,11.0,11
11,estagent_numpy,54,0,50,4,0,28.0,12.0,0.0,12.0,12
11,estagent_scipy,46,0,39,7,0,37.0,12.0,0.0,12.0,12
12,estagent_numpy,55,0,53,2,0,38.0,12.7818181818,1.60330237709,13.0,13
12,estagent_scipy,45,0,39,6,0,70.0,12.7333333333,1.76886655486,13.0,13
